epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1364956498146057,2.2895352840423584,1e-05,0.10101009905338287,2.3063161373138428
1,0.15392062067985535,2.242950916290283,1e-05,0.12121212482452393,2.3013789653778076
2,0.1810261309146881,2.178528308868408,1e-05,0.18939393758773804,1.9674938917160034
3,0.26621490716934204,1.8092710971832275,1e-05,0.33838382363319397,1.6541341543197632
4,0.3020329177379608,1.7185392379760742,1e-05,0.3207070827484131,1.5577861070632935
5,0.34075507521629333,1.5708181858062744,1e-05,0.34090909361839294,1.5227192640304565
6,0.35721200704574585,1.5060020685195923,1e-05,0.3232323229312897,1.3832229375839233
7,0.391093909740448,1.427808403968811,1e-05,0.39393940567970276,1.3366813659667969
8,0.406582772731781,1.3956706523895264,1e-05,0.43686869740486145,1.2898415327072144
9,0.45595353841781616,1.3034166097640991,1e-05,0.4292929172515869,1.3510830402374268
10,0.4966118037700653,1.2234715223312378,1e-05,0.5126262903213501,1.1275439262390137
11,0.5169409513473511,1.1849339008331299,1e-05,0.4570707082748413,1.2255430221557617
12,0.5392062067985535,1.1360048055648804,1e-05,0.5530303120613098,1.0509783029556274
13,0.5498548150062561,1.0678218603134155,1e-05,0.5530303120613098,1.0491338968276978
14,0.5614714622497559,1.0699840784072876,1e-05,0.560606062412262,1.0366849899291992
15,0.5653436779975891,1.037135362625122,1e-05,0.5934343338012695,1.0271376371383667
16,0.5914811491966248,1.0048199892044067,1e-05,0.5227272510528564,1.1362172365188599
17,0.5808325409889221,1.0203337669372559,1e-05,0.6060606241226196,0.9689115881919861
18,0.6030977964401245,0.9914137125015259,1e-05,0.5959596037864685,0.9451462030410767
19,0.5982574820518494,0.9906500577926636,1e-05,0.6489899158477783,0.9071587324142456
20,0.6234269142150879,0.9348126649856567,1e-05,0.5404040217399597,1.145900011062622
21,0.6234269142150879,0.9272304177284241,1e-05,0.631313145160675,0.8911203145980835
22,0.6224588751792908,0.9138370752334595,1e-05,0.6212121248245239,0.9127691388130188
23,0.6185866594314575,0.9086573123931885,1e-05,0.6414141654968262,0.8951674699783325
24,0.6379477381706238,0.8995210528373718,1e-05,0.6641414165496826,0.8035494685173035
25,0.6515004634857178,0.874845027923584,1e-05,0.6136363744735718,0.8841675519943237
26,0.6272991299629211,0.8897919058799744,1e-05,0.6363636255264282,0.8419394493103027
27,0.6515004634857178,0.8481015563011169,1e-05,0.6237373948097229,0.9349168539047241
28,0.6582768559455872,0.8434035778045654,1e-05,0.6136363744735718,0.9509723782539368
29,0.6786059737205505,0.8403624296188354,1e-05,0.6868686676025391,0.900413453578949
30,0.7212004065513611,0.7082682847976685,1e-06,0.7196969985961914,0.7633873820304871
31,0.7270087003707886,0.7037746906280518,1e-06,0.7222222089767456,0.7561786770820618
32,0.731848955154419,0.6814043521881104,1e-06,0.7171717286109924,0.7571834325790405
33,0.7270087003707886,0.6912050247192383,1e-06,0.7045454382896423,0.7704291343688965
34,0.731848955154419,0.6881387829780579,1e-06,0.6742424368858337,0.7863479256629944
35,0.7250726222991943,0.6918753385543823,1e-06,0.7171717286109924,0.7337860465049744
36,0.7366892695426941,0.6865723133087158,1e-06,0.7297979593276978,0.7239811420440674
37,0.7395934462547302,0.6710398197174072,1e-06,0.7146464586257935,0.7430737614631653
38,0.7260406613349915,0.678779125213623,1e-06,0.7222222089767456,0.7174885272979736
39,0.7415295243263245,0.6577495336532593,1e-06,0.7247474789619446,0.7520370483398438
40,0.7395934462547302,0.6520031094551086,1e-06,0.7171717286109924,0.7454156875610352
41,0.7424975633621216,0.6662626266479492,1e-06,0.7196969985961914,0.7321256399154663
42,0.7531461715698242,0.6553797721862793,1e-06,0.7095959782600403,0.7512804269790649
43,0.7463697791099548,0.6714799404144287,1e-06,0.7070707082748413,0.7213277220726013
44,0.749273955821991,0.6390604376792908,5e-07,0.7323232293128967,0.741603672504425
45,0.7454017400741577,0.6300557255744934,5e-07,0.7398989796638489,0.7103973031044006
46,0.7550823092460632,0.6387523412704468,5e-07,0.7272727489471436,0.7338806986808777
47,0.7560503482818604,0.6384591460227966,5e-07,0.7348484992980957,0.7378717064857483
48,0.7483059167861938,0.6275460124015808,5e-07,0.7196969985961914,0.729797899723053
49,0.7589545249938965,0.6250070929527283,5e-07,0.7247474789619446,0.7004499435424805
50,0.7434656620025635,0.6502427458763123,5e-07,0.7272727489471436,0.7061941623687744
51,0.7628267407417297,0.6312114000320435,5e-07,0.7297979593276978,0.7011468410491943
52,0.7531461715698242,0.6225026845932007,5e-07,0.7222222089767456,0.716726541519165
53,0.7570183873176575,0.6310182213783264,5e-07,0.7398989796638489,0.7051392197608948
54,0.7483059167861938,0.615310788154602,5e-07,0.7171717286109924,0.7159202694892883
55,0.7415295243263245,0.6352777481079102,5e-07,0.7373737096786499,0.6925432682037354
56,0.7550823092460632,0.6200922131538391,5e-07,0.7095959782600403,0.7142194509506226
57,0.7589545249938965,0.6163304448127747,5e-07,0.7146464586257935,0.7192606329917908
58,0.7676669955253601,0.6356616616249084,5e-07,0.7247474789619446,0.7183017134666443
59,0.7531461715698242,0.617923378944397,5e-07,0.7348484992980957,0.6909042596817017
60,0.7628267407417297,0.6125967502593994,5e-07,0.752525269985199,0.6992119550704956
61,0.764762818813324,0.6134695410728455,5e-07,0.7348484992980957,0.7288997173309326
62,0.766698956489563,0.6122382283210754,5e-07,0.747474730014801,0.6975031495094299
63,0.7424975633621216,0.6263644695281982,5e-07,0.7424242496490479,0.6805062294006348
64,0.7637947797775269,0.6253758668899536,5e-07,0.7575757503509521,0.6891101598739624
65,0.7696030735969543,0.6171810626983643,5e-07,0.7348484992980957,0.7022103071212769
66,0.7628267407417297,0.6036911606788635,5e-07,0.7348484992980957,0.7065451145172119
67,0.7657308578491211,0.6172586679458618,5e-07,0.7222222089767456,0.7097072601318359
68,0.7618586421012878,0.6131229996681213,5e-07,0.7373737096786499,0.6865524649620056
69,0.764762818813324,0.5963843464851379,5e-07,0.7323232293128967,0.6804823279380798
70,0.7599225640296936,0.6138973832130432,5e-07,0.7297979593276978,0.6870924830436707
71,0.7550823092460632,0.6190329194068909,5e-07,0.7323232293128967,0.6764475703239441
72,0.7570183873176575,0.6172139644622803,5e-07,0.7247474789619446,0.6817802786827087
73,0.7560503482818604,0.6098547577857971,5e-07,0.7449495196342468,0.6988944411277771
